id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4482,LROP,large_airport,"Henri Coandă International Airport",44.571111,26.085,314,EU,Romania,RO,"Ilfov County",RO-IF,IF,Bucharest,1,LROP,OTP,,http://www.bucharestairports.ro/en/,https://en.wikipedia.org/wiki/Henri_Coand%C4%83_International_Airport,"BUH, Otopeni Airport, RoAF 90th Airlift Base",1675,2022-04-11T16:52:19+00:00
4474,LRBS,medium_airport,"Băneasa International Airport",44.503201,26.1021,297,EU,Romania,RO,"Bucharest (municipality)",RO-B,B,Bucharest,1,LRBS,BBU,,http://www.baneasa-airport.ro/,https://en.wikipedia.org/wiki/Aurel_Vlaicu_International_Airport,"BUH, Aurel Vlaicu International Airport",750,2023-09-19T07:01:28+00:00
4476,LRCL,medium_airport,"Cluj-Napoca International Airport",46.785198,23.686199,1039,EU,Romania,RO,"Cluj County",RO-CJ,CJ,Cluj-Napoca,1,LRCL,CLJ,,http://www.airportcluj.ro/,https://en.wikipedia.org/wiki/Cluj-Napoca_International_Airport,"Someşeni Airport",750,2020-01-14T01:41:36+00:00
4488,LRTR,medium_airport,"Timişoara Traian Vuia Airport",45.809898376464844,21.337900161743164,348,EU,Romania,RO,"Timiş County",RO-TM,TM,Timişoara,1,LRTR,TSR,,http://www.aerotim.ro/,https://en.wikipedia.org/wiki/Traian_Vuia_International_Airport,"RoAF 93rd Air Base, Giarmata Airport, Temesvár, Temeschburg, Temeswar, Temeschwar, Тимишоара, Темишвар, Temišvar, Banat",750,2008-06-13T14:30:04+00:00
4475,LRCK,medium_airport,"Mihail Kogălniceanu International Airport",44.36220169067383,28.488300323486328,353,EU,Romania,RO,"Constanţa County",RO-CT,CT,Constanţa,1,LRCK,CND,,,https://en.wikipedia.org/wiki/Mihail_Kog%C4%83lniceanu_International_Airport,"Mihail Kogalniceanu, RoAF 57th Air Base",750,2008-06-13T14:30:04+00:00
4483,LRSB,medium_airport,"Sibiu International Airport",45.78559875488281,24.091299057006836,1496,EU,Romania,RO,"Sibiu County",RO-SB,SB,Sibiu,1,LRSB,SBZ,,http://www.sibiuairport.ro/,https://en.wikipedia.org/wiki/Sibiu_International_Airport,,750,2008-06-13T14:30:04+00:00
4480,LRIA,medium_airport,"Iaşi Airport",47.180278,27.620833,411,EU,Romania,RO,"Iaşi County",RO-IS,IS,Iaşi,1,LRIA,IAS,,http://www.aeroport.ro/,https://en.wikipedia.org/wiki/Ia%C5%9Fi_International_Airport,"Iasi, Jassy",750,2021-12-27T06:01:44+00:00
4485,LRSV,medium_airport,"Suceava Stefan cel Mare Airport",47.6875,26.35409927368164,1375,EU,Romania,RO,"Suceava County",RO-SV,SV,Suceava,1,LRSV,SCV,,http://www.aeroportsuceava.ro/index_en.html,https://en.wikipedia.org/wiki/Suceava_Airport,,750,2008-06-13T14:30:04+00:00
4479,LRCV,medium_airport,"Craiova Airport",44.3181,23.888599,626,EU,Romania,RO,"Dolj County",RO-DJ,DJ,Craiova,1,LRCV,CRA,,http://www.aeroportcraiova.ro/,https://en.wikipedia.org/wiki/Craiova_Airport,,500,2021-05-29T06:37:50+00:00
